Id,Name,Address,Price,Type,Distance (km),English Menu,Halal,Vegetarian,Vegan,Gluten free,Takeout,Open late
1,일일향 (日日香),"봉은사로 167 (2호점), 서울특별시",1,Chinese,1.7,0,0,1,0,0,1,0
2,김돈이,"선릉로94길 9, 서울특별시",2,BBQ,2.37,0,0,0,0,1,0,0
3,마루심 (〇心),"서초구 고무래로10길 10, 서울특별시",2,Japanese,1.88,1,0,0,0,1,0,0
4,장꼬방 김치찌개,"서초구 효령로 364, 서울특별시",2,Korean,0.68,1,0,1,1,1,0,1
5,Jeremy's Burger,"남부순환로361길 7, 서울특별시",1,American,1,1,0,0,0,0,1,1
6,금계찜닭,"강남구 선릉로93길 22, 서울특별시",2,Korean,2.15,0,0,0,0,1,0,0
7,교대 이층집,"서초구 서초대로50길 24, 서울특별시",2,BBQ,1.4,0,0,0,0,1,0,0
8,풍년집,"강남구 논현로67길 63, 서울특별시",2,BBQ,0.54,0,0,0,0,1,0,1
9,스시몬 (寿司文),"강남구 논현로30길 52, 서울특별시",2,Japanese,1.66,1,0,0,0,1,1,0
10,바베쿡스,"강남구 논현로36길 23, 서울특별시",2,BBQ,1.51,1,0,0,0,1,1,0
11,대우식당,"강남구 테헤란로25길 34, 서울특별시",2,Korean,1.35,1,0,1,1,1,1,1
12,배꼽집,강남구 강남대로128길 22,2,BBQ,2.02,0,0,0,0,1,0,0
13,Cuisson 82,"강남구 양재천로 167, 서울특별시",3,Western,1.84,1,0,0,0,1,0,0
14,Brown Bread,"강남구 논현로26길 29, 서울특별시",1,Western,1.69,1,0,1,0,0,1,0
15,남서울민물장어,"강남구 봉은사로 137, 서울특별시",2,Korean,1.59,0,0,0,0,1,0,0
16,Cafe 413 Project," 강남구 논현로97길 19-11, 서울특별시",1,Western,1.27,1,0,1,0,0,1,0
17,진대감,"강남구 학동로38길 38 (논현본점), 서울특별시",2,Korean,2.28,0,0,1,0,1,0,0
18,윈윈수산,"서초구 동산로19길 40-1 영인빌딩 1층, 서울특별시",2,Japanese,2.45,0,0,0,0,1,0,0
19,재패니즈 다이닝 안심 (安心),"강남구 언주로98길 9 2층, 서울특별시",2,Japanese,1.9,0,0,1,0,1,0,1
20,이치류 (一流),"신반포로47길 17 (서초점), 서울특별시",2,BBQ,2.3,1,0,0,0,1,0,0
21,유타로 (雄太郎),"서초구 서초대로74길 51, 서울특별시",2,Japanese,0.2,1,0,0,0,1,0,0
22,이야기 하나,"강남구 강남대로110길 24, 서울특별시",2,Japanese,1.3,0,0,0,0,1,0,0
23,Brick Oven New York Pizzeria,"강남구 강남대로102길 31, 서울특별시",3,American,1.2,1,0,1,0,0,1,1
24,봉산옥,"서초구 반포대로8길 5-6, 서울특별시",2,Korean,1.74,0,0,1,1,1,0,0
25,Do Chef Napoli Pizzeria,"서초구 강남대로89길 14, 서울특별시",2,Italian,2,1,0,1,0,0,1,0
26,부산양곱창,"강남구 언주로98길 8-1, 서울특별시",2,Korean,1.8,0,0,0,0,1,0,0
27,Alla Prima,"강남구 학동로17길 13, 서울특별시",2,Italian,2.4,1,0,1,0,0,0,0
28,Retrooven,"강남구 봉은사로55길 25, 서울특별시",1,Western,2.6,1,0,0,0,0,0,0
29,Da Pitta,"서초구 효령로 202, 서울특별시",2,Italian,2.2,1,0,1,0,0,0,0
30,용무있습니까,"서초구 마방로10길 18-18, 서울특별시",1,Asian,2,1,0,1,0,0,0,0